date,high,low,open,close,volume
2017-02-01,130.490005,127.010002,127.029999,128.75,111985000
2017-01-31,121.389999,120.620003,121.150002,121.349998,49201000
2017-01-30,121.629997,120.660004,120.93,121.629997,30377500
2017-01-27,122.349998,121.599998,122.139999,121.949997,20562900
2017-01-26,122.440002,121.599998,121.669998,121.940002,26337600
2017-01-25,122.099998,120.279999,120.419998,121.879997,32377600
2017-01-24,120.099998,119.5,119.550003,119.970001,23211000
2017-01-23,120.809998,119.769997,120,120.080002,22050200
2017-01-20,120.449997,119.730003,120.449997,120,32597900
2017-01-19,120.089996,119.370003,119.400002,119.779999,25597300
2017-01-18,120.5,119.709999,120,119.989998,23713000
2017-01-17,120.239998,118.220001,118.339996,120,34439800
2017-01-13,119.620003,118.809998,119.110001,119.040001,26111900
2017-01-12,119.300003,118.209999,118.900002,119.25,27086200
2017-01-11,119.93,118.599998,118.739998,119.75,27588600
2017-01-10,119.379997,118.300003,118.769997,119.110001,24462100
2017-01-09,119.43,117.940002,117.949997,118.989998,33387600
2017-01-06,118.160004,116.470001,116.779999,117.910004,31751900
2017-01-05,116.860001,115.809998,115.919998,116.610001,22193600
2017-01-04,116.510002,115.75,115.849998,116.019997,21118100
2017-01-03,116.330002,114.760002,115.800003,116.150002,28781900
2016-12-30,117.199997,115.43,116.650002,115.82,30586300
2016-12-29,117.110001,116.400002,116.449997,116.730003,15039500
2016-12-28,118.019997,116.199997,117.519997,116.760002,20905900
2016-12-27,117.800003,116.489998,116.519997,117.260002,18296900
2016-12-23,116.519997,115.589996,115.589996,116.519997,14249500
2016-12-22,116.510002,115.639999,116.349998,116.290001,26085900
2016-12-21,117.400002,116.779999,116.800003,117.059998,23783200
2016-12-20,117.5,116.68,116.739998,116.949997,21425000
2016-12-19,117.379997,115.75,115.800003,116.639999,27779400
2016-12-16,116.5,115.650002,116.470001,115.970001,44351100
2016-12-15,116.730003,115.230003,115.379997,115.82,46524500
2016-12-14,116.199997,114.980003,115.040001,115.190002,34031800
2016-12-13,115.919998,113.75,113.839996,115.190002,43733800
2016-12-12,115,112.489998,113.290001,113.300003,26374400
2016-12-09,114.699997,112.309998,112.309998,113.949997,34402600
2016-12-08,112.43,110.599998,110.860001,112.120003,27068300
2016-12-07,111.190002,109.160004,109.260002,111.029999,29998700
2016-12-06,110.360001,109.190002,109.5,109.949997,26195500
2016-12-05,110.029999,108.25,110,109.110001,34324500
2016-12-02,110.089996,108.849998,109.169998,109.900002,26528000
2016-12-01,110.940002,109.029999,110.370003,109.489998,37086900
2016-11-30,112.199997,110.269997,111.599998,110.519997,36162300
2016-11-29,112.029999,110.07,110.779999,111.459999,28528800
2016-11-28,112.470001,111.389999,111.43,111.57,27194000
2016-11-25,111.870003,110.949997,111.129997,111.790001,11475900
2016-11-23,111.510002,110.330002,111.360001,111.230003,27426400
2016-11-22,112.419998,111.400002,111.949997,111.800003,25965500
2016-11-21,111.989998,110.010002,110.120003,111.730003,29264600
2016-11-18,110.540001,109.660004,109.720001,110.059998,28428900
2016-11-17,110.349998,108.830002,109.809998,109.949997,27632000
2016-11-16,110.230003,106.599998,106.699997,109.989998,58840500
2016-11-15,107.68,106.160004,106.57,107.110001,32264500
2016-11-14,107.809998,104.080002,107.709999,105.709999,51175500
2016-11-11,108.870003,106.550003,107.120003,108.43,34143900
2016-11-10,111.089996,105.830002,111.089996,107.790001,57134500
2016-11-09,111.32,108.050003,109.879997,110.879997,59176400
2016-11-08,111.720001,109.699997,110.309998,111.059998,24054500
2016-11-07,110.510002,109.459999,110.080002,110.410004,32560000
2016-11-04,110.25,108.110001,108.529999,108.839996,30837000
2016-11-03,111.459999,109.550003,110.980003,109.830002,26932600
2016-11-02,112.349998,111.230003,111.400002,111.589996,28331700
2016-11-01,113.769997,110.529999,113.459999,111.489998,43825800
2016-10-31,114.230003,113.199997,113.650002,113.540001,26419400
2016-10-28,115.209999,113.449997,113.870003,113.720001,37861700
2016-10-27,115.860001,114.099998,115.389999,114.480003,34562000
2016-10-26,115.699997,113.309998,114.309998,115.589996,66134200
2016-10-25,118.360001,117.309998,117.949997,118.25,48129000
2016-10-24,117.739998,117,117.099998,117.650002,23538700
2016-10-21,116.910004,116.279999,116.809998,116.599998,23192700
2016-10-20,117.379997,116.330002,116.860001,117.059998,24125800
2016-10-19,117.760002,113.800003,117.25,117.120003,20034600
2016-10-18,118.209999,117.449997,118.18,117.470001,24553500
2016-10-17,117.839996,116.779999,117.330002,117.550003,23624900
2016-10-14,118.169998,117.129997,117.879997,117.629997,35652200
2016-10-13,117.440002,115.720001,116.790001,116.980003,35192400
2016-10-12,117.980003,116.75,117.349998,117.339996,37586800
2016-10-11,118.690002,116.199997,117.699997,116.300003,64041000
2016-10-10,116.75,114.720001,115.019997,116.050003,36236000
2016-10-07,114.559998,113.510002,114.309998,114.059998,24358400
2016-10-06,114.339996,113.129997,113.699997,113.889999,28779300
2016-10-05,113.660004,112.690002,113.400002,113.050003,21453100
2016-10-04,114.309998,112.629997,113.059998,113,29736800
2016-10-03,113.050003,112.279999,112.709999,112.519997,21701800
2016-09-30,113.370003,111.800003,112.459999,113.050003,36379100
2016-09-29,113.800003,111.800003,113.160004,112.18,35887000
2016-09-28,114.639999,113.43,113.690002,113.949997,29641100
2016-09-27,113.18,112.339996,113,113.089996,24607400
2016-09-26,113.389999,111.550003,111.639999,112.879997,29869400
2016-09-23,114.790001,111.550003,114.419998,112.709999,52481200
2016-09-22,114.940002,114,114.349998,114.620003,31074000
2016-09-21,113.989998,112.440002,113.849998,113.550003,36003200
2016-09-20,114.120003,112.510002,113.050003,113.57,34514300
2016-09-19,116.18,113.25,115.190002,113.580002,47023000
2016-09-16,116.129997,114.040001,115.120003,114.919998,79886900
2016-09-15,115.730003,113.489998,113.860001,115.57,89983600
2016-09-14,113.029999,108.599998,108.730003,111.769997,110888700
2016-09-13,108.790001,107.239998,107.510002,107.949997,62176200
2016-09-12,105.720001,102.529999,102.650002,105.440002,45292800
2016-09-09,105.720001,103.129997,104.639999,103.129997,46557000
2016-09-08,107.269997,105.239998,107.25,105.519997,53002000
2016-09-07,108.760002,107.07,107.830002,108.360001,42364300
2016-09-06,108.300003,107.510002,107.900002,107.699997,26880400
2016-09-02,108,106.82,107.699997,107.730003,26802500
2016-09-01,106.800003,105.620003,106.139999,106.730003,26701500
2016-08-31,106.57,105.639999,105.660004,106.099998,29662400
2016-08-30,106.5,105.5,105.800003,106,24863900
2016-08-29,107.440002,106.290001,106.620003,106.82,24970300
2016-08-26,107.949997,106.309998,107.410004,106.940002,27766300
2016-08-25,107.879997,106.68,107.389999,107.57,25086200
2016-08-24,108.75,107.68,108.57,108.029999,23675100
2016-08-23,109.32,108.529999,108.589996,108.849998,21257700
2016-08-22,109.099998,107.849998,108.860001,108.510002,25820200
2016-08-19,109.690002,108.360001,108.769997,109.360001,25368100
2016-08-18,109.599998,109.019997,109.230003,109.080002,21984700
2016-08-17,109.370003,108.339996,109.099998,109.220001,25356000
2016-08-16,110.230003,109.209999,109.629997,109.379997,33794400
2016-08-15,109.540001,108.080002,108.139999,109.480003,25868200
2016-08-12,108.440002,107.779999,107.779999,108.18,18660400
2016-08-11,108.93,107.849998,108.519997,107.93,27484500
2016-08-10,108.900002,107.760002,108.709999,108,24008500
2016-08-09,108.940002,108.010002,108.230003,108.809998,26315200
2016-08-08,108.370003,107.160004,107.519997,108.370003,28037200
2016-08-05,107.650002,106.18,106.269997,107.480003,40553400
2016-08-04,106,105.279999,105.580002,105.870003,27408700
2016-08-03,105.839996,104.769997,104.809998,105.790001,30202600
2016-08-02,106.07,104,106.050003,104.480003,33816600
2016-08-01,106.150002,104.410004,104.410004,106.050003,38167900
2016-07-29,104.550003,103.68,104.190002,104.209999,27733700
2016-07-28,104.449997,102.82,102.830002,104.339996,39869800
2016-07-27,104.349998,102.75,104.269997,102.949997,92344800
2016-07-26,97.970001,96.419998,96.82,96.669998,56239800
2016-07-25,98.839996,96.919998,98.25,97.339996,40382900
2016-07-22,99.300003,98.309998,99.260002,98.660004,28313700
2016-07-21,101,99.129997,99.830002,99.43,32702000
2016-07-20,100.459999,99.739998,100,99.959999,26276000
2016-07-19,100,99.339996,99.559998,99.870003,23779900
2016-07-18,100.129997,98.599998,98.699997,99.830002,36493900
2016-07-15,99.300003,98.5,98.919998,98.779999,30137000
2016-07-14,98.989998,97.32,97.389999,98.790001,38919000
2016-07-13,97.669998,96.839996,97.410004,96.870003,25892200
2016-07-12,97.699997,97.120003,97.169998,97.419998,24167500
2016-07-11,97.650002,96.730003,96.75,96.980003,23794900
2016-07-08,96.889999,96.050003,96.489998,96.68,28912100
2016-07-07,96.5,95.620003,95.699997,95.940002,25139600
2016-07-06,95.660004,94.370003,94.599998,95.529999,30949100
2016-07-05,95.400002,94.459999,95.389999,94.989998,27705200
2016-07-01,96.470001,95.330002,95.489998,95.889999,26026500
2016-06-30,95.769997,94.300003,94.440002,95.599998,35836400
2016-06-29,94.550003,93.629997,93.970001,94.400002,36531000
2016-06-28,93.660004,92.139999,92.900002,93.589996,40444900
2016-06-27,93.050003,91.5,93,92.040001,45489600
2016-06-24,94.660004,92.650002,92.910004,93.400002,75311400
2016-06-23,96.290001,95.25,95.940002,96.099998,32240200
2016-06-22,96.889999,95.349998,96.25,95.550003,29219100
2016-06-21,96.349998,94.68,94.940002,95.910004,35546400
2016-06-20,96.57,95.029999,96,95.099998,34411900
2016-06-17,96.650002,95.300003,96.620003,95.330002,61008200
2016-06-16,97.75,96.07,96.449997,97.550003,31326800
2016-06-15,98.410004,97.029999,97.82,97.139999,29445200
2016-06-14,98.480003,96.75,97.32,97.459999,31931900
2016-06-13,99.120003,97.099998,98.690002,97.339996,38020500
2016-06-10,99.349998,98.480003,98.529999,98.830002,31712900
2016-06-09,99.989998,98.459999,98.5,99.650002,26601400
2016-06-08,99.559998,98.68,99.019997,98.940002,20848100
2016-06-07,99.870003,98.959999,99.25,99.029999,22409500
2016-06-06,101.889999,97.550003,97.989998,98.629997,23292500
2016-06-03,98.269997,97.449997,97.790001,97.919998,28062900
2016-06-02,97.839996,96.629997,97.599998,97.720001,40191600
2016-06-01,99.540001,98.330002,99.019997,98.459999,29173300
2016-05-31,100.400002,98.82,99.599998,99.860001,42307200
2016-05-27,100.470001,99.25,99.440002,100.349998,36229500
2016-05-26,100.730003,98.639999,99.68,100.410004,56331200
2016-05-25,99.739998,98.110001,98.669998,99.620003,38168800
2016-05-24,98.089996,96.839996,97.220001,97.900002,35140200
2016-05-23,97.190002,95.669998,95.870003,96.43,38018600
2016-05-20,95.43,94.519997,94.639999,95.220001,32026000
2016-05-19,94.639999,93.57,94.639999,94.199997,30442100
2016-05-18,95.209999,93.889999,94.160004,94.559998,42062400
2016-05-17,94.699997,93.010002,94.550003,93.489998,46916900
2016-05-16,94.389999,91.650002,92.389999,93.879997,61259800
2016-05-13,91.669998,90,90,90.519997,44392800
2016-05-12,92.779999,89.470001,92.720001,90.339996,76314700
2016-05-11,93.57,92.459999,93.480003,92.510002,28719100
2016-05-10,93.57,92.110001,93.330002,93.419998,33686800
2016-05-09,93.769997,92.589996,93,92.790001,32936400
2016-05-06,93.449997,91.849998,93.370003,92.720001,43458200
2016-05-05,94.07,92.68,94,93.239998,35890500
2016-05-04,95.900002,93.82,95.199997,94.190002,41025500
2016-05-03,95.739998,93.68,94.199997,95.18,56831300
2016-05-02,94.080002,92.400002,93.970001,93.639999,48160100
2016-04-29,94.720001,92.510002,93.989998,93.739998,68531500
2016-04-28,97.879997,94.25,97.610001,94.830002,82242700
2016-04-27,98.709999,95.68,96,97.82,114602100
2016-04-26,105.300003,103.910004,103.910004,104.349998,56016200
2016-04-25,105.650002,104.510002,105,105.080002,28031600
2016-04-22,106.480003,104.620003,105.010002,105.68,33683100
2016-04-21,106.93,105.519997,106.93,105.970001,31552500
2016-04-20,108.089996,106.059998,106.639999,107.129997,30611000
2016-04-19,108,106.230003,107.879997,106.910004,32384900
2016-04-18,108.949997,106.940002,108.889999,107.480003,60834000
2016-04-15,112.300003,109.730003,112.110001,109.849998,46939000
2016-04-14,112.389999,111.330002,111.620003,112.099998,25473900
2016-04-13,112.339996,110.800003,110.800003,112.040001,33257300
2016-04-12,110.5,108.660004,109.339996,110.440002,27232300
2016-04-11,110.610001,108.830002,108.970001,109.019997,29407500
2016-04-08,109.769997,108.169998,108.910004,108.660004,23581700
2016-04-07,110.419998,108.120003,109.949997,108.540001,31801900
2016-04-06,110.980003,109.199997,110.230003,110.959999,26404100
2016-04-05,110.730003,109.419998,109.510002,109.809998,26578700
2016-04-04,112.190002,110.269997,110.419998,111.120003,37356200
2016-04-01,110,108.199997,108.779999,109.989998,25874000
2016-03-31,109.900002,108.879997,109.720001,108.989998,25888400
2016-03-30,110.419998,108.599998,108.650002,109.559998,45601100
2016-03-29,107.790001,104.879997,104.889999,107.68,31190100
2016-03-28,106.190002,105.059998,106,105.190002,19411400
2016-03-24,106.25,104.889999,105.470001,105.669998,26133000
2016-03-23,107.07,105.900002,106.480003,106.129997,25703500
2016-03-22,107.290001,105.209999,105.25,106.720001,32444400
2016-03-21,107.650002,105.139999,105.93,105.910004,35502700
2016-03-18,106.5,105.190002,106.339996,105.919998,44205200
2016-03-17,106.470001,104.959999,105.519997,105.800003,34420700
2016-03-16,106.309998,104.589996,104.610001,105.970001,38303500
2016-03-15,105.18,103.849998,103.959999,104.580002,40067700
2016-03-14,102.910004,101.779999,101.910004,102.519997,25076100
2016-03-11,102.279999,101.5,102.239998,102.260002,27408200
2016-03-10,102.239998,100.150002,101.410004,101.169998,33513600
2016-03-09,101.580002,100.269997,101.309998,101.120003,27201700
2016-03-08,101.760002,100.400002,100.779999,101.029999,31561900
2016-03-07,102.830002,100.959999,102.389999,101.870003,35828900
2016-03-04,103.75,101.370003,102.370003,103.010002,46055100
2016-03-03,101.709999,100.449997,100.580002,101.5,36955700
2016-03-02,100.889999,99.639999,100.510002,100.75,33169600
2016-03-01,100.769997,97.419998,97.650002,100.529999,50407100
2016-02-29,98.230003,96.650002,96.860001,96.690002,35216300
2016-02-26,98.019997,96.580002,97.199997,96.910004,28991100
2016-02-25,96.760002,95.25,96.050003,96.760002,27582700
2016-02-24,96.379997,93.32,93.980003,96.099998,36255700
2016-02-23,96.5,94.550003,96.400002,94.690002,31942600
2016-02-22,96.900002,95.919998,96.309998,96.879997,34280800
2016-02-19,96.760002,95.800003,96,96.040001,35374200
2016-02-18,98.889999,96.089996,98.839996,96.260002,39021000
2016-02-17,98.209999,96.150002,96.669998,98.120003,44863200
2016-02-16,96.849998,94.610001,95.019997,96.639999,49057900
2016-02-12,94.5,93.010002,94.190002,93.989998,40351400
2016-02-11,94.720001,92.589996,93.790001,93.699997,50074700
2016-02-10,96.349998,94.099998,95.919998,94.269997,42343600
2016-02-09,95.940002,93.93,94.290001,94.989998,44331200
2016-02-08,95.699997,93.040001,93.129997,95.010002,54021400
2016-02-05,96.919998,93.690002,96.519997,94.019997,46418100
2016-02-04,97.330002,95.190002,95.860001,96.599998,46471700
2016-02-03,96.839996,94.080002,95,96.349998,45964300
2016-02-02,96.040001,94.279999,95.419998,94.480003,37357200
2016-02-01,96.709999,95.400002,96.470001,96.43,40943500
